pos,corr_resp
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
-150,left
-50,d
50,k
150,right
